Question,Class
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,Evaluating
Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,Evaluating
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Evaluating
How can we combine and abstract facts about a software system to create new knowledge?,Evaluating
How to combine virtual symmetry and symbolic model checking effectively,Evaluating
How do we efficiently combine multiple subject graphs to construct an aig with choice,Evaluating
how do we devise a way to enforce the laws,Evaluating
can you devise an explicit formula for,Evaluating
Do you devise a systematic approach in order to get larger progressions,Evaluating
Develop and execute a program for this exercise,Evaluating
Develop a network based on the following information: Activity Immediate predecessors,Evaluating
How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,Evaluating
"Suggest a reason why some people are worried about using milk from genetically engineered cows, to feed human babies.",Evaluating
Clones are a group of genetically identical organisms. Explain THREE advantages and THREE disadvantages with reasons of cloning.,Evaluating
Embryos can be screened for genetic disorders. Many people would favour the use of embryo screening for cystic fibrosis but not for polydactyly. Compare the issues involved in the use of embryo screening for cystic fibrosis and for polydactyly. You should use your knowledge and understanding of the process and the two conditions.,Evaluating
"Sharon has 100 rabbits. Seventy-nine of her rabbits are black and twenty-one of the rabbits are white. Based on this information, what can she conclude about the rabbits?",Evaluating
"Apart from conserving individual plants and animals, what else needs to be conserved.",Evaluating
In what ways can modern agriculture threaten the survival of species?,Evaluating
Use reasoning and information from the unit to support the following statement: Knowledge of chemistry is important for the study of biology,Evaluating
Describe ethical consideration about the use of embryonic stem cells.,Evaluating
"Lindemann's paper on trophic-dynamics speaks of quantifying energy through these systems. He also believes that there is energy unaccounted for and should therefore be corrected for. What are the three aspects of dissipation of energy proposed by Lindeman and explain, if you think so, why one of these aspects may be considered a ""double-counting"" of energy?",Evaluating
"Choose any product, good, service, etc., and describe, to the best of your knowledge, an energy analysis, and why might this be considered by one of our authors as an ""energy memory"" analysis?",Evaluating
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Creating
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Creating
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible ",Creating
Appraise data in support of a hypothesis.,Creating
Appraise the speech's effectiveness based upon the class' criteria.,Creating
Are there students who should not use the Cornell method?,Creating
Are you a . . . person?,Creating
Assess the appropriateness of an author's conclusions based on the evidence given.,Creating
Assess the importance of understanding seasonal patters.,Creating
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Creating
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Creating
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Creating
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,Creating
Can you defend your position about . . .?,Creating
Choose a paint schedule for the maintenance of an outdoor structure? (level 2) ,Creating
Choose and illustrate the two most important events in the story.,Creating
Conclude and support which economic system leads to a higher standard of living.,Creating
Construct a poster that will advertise your new food product in an exciting and irresistible way.,Creating
Critique an experimental design or a research proposal.,Creating
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Creating
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Creating
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Creating
Decide whether you learned enough about electricity from this book.,Creating
Decide which candidate would best fill the position of principal.,Creating
Decide which course of action was most effective ,Creating
Decide which method of solving a problem was most effective ,Creating
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,Creating
Defend your use of a specific strategy in solving the problem.,Creating
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,Creating
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Creating
Determine if a character?s actions were heroic ,Creating
Do you agree...?,Creating
Do you think . . . is a good or a bad thing?,Creating
Establish criteria for making this choice and defend your final selection.,Creating
"Evaluate a work of art, giving the reasons for your evaluation.",Creating
Evaluate appropriate and inappropriate actions of characters.,Creating
Evaluate board games and justify why rules are important.,Creating
Evaluate the corrosion monitoring needs of a chemical processing plant ,Creating
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4) ,Creating
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Creating
Evaluate whether their model is a true representation of the local environment.,Creating
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Creating
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Creating
Explain and justify a new budget.,Creating
Explain choices made in making recommendations to an end user.,Creating
"Given an argument on any position, enumerate the logical fallacies in that argument.",Creating
"Given the data available on a research question, take a position and defend it.",Creating
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Creating
"Given the two solutions to the stated programming problem, rate the solutions in ?terms of efficiency and readability.",Creating
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Creating
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",Creating
How effective are . . .?,Creating
How would you decide about...?,Creating
How would you feel if . . .?,Creating
How would you have handled . . .?,Creating
"improved, reformed or rejected?",Creating
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Creating
Is there a better solution to . . .?,Creating
Judge aesthetic qualities and relationship to future values.,Creating
judge the difficulty level for yourself.,Creating
Judge the value of . . .?,Creating
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Creating
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,Creating
Justify and nominate ways to prevent animal extinction.,Creating
Justify the title To Kill a Mockingbird .,Creating
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Creating
Place the following in order of priority...,Creating
Predict what will happen next in.,Creating
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,Creating
Recommend how our classroom or playground could be improved.,Creating
Select the best proposal for a proposed water treatment plant.,Creating
Select the most effective solution.,Creating
suggest ways in which it could have responded more effectively,Creating
decide about the most exciting part of the book. being sure to give at least three reasons why?,Creating
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Creating
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger. ?",Creating
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",Creating
Was Hemingway a great American writer? First you will need to define greatness.,Creating
What changes to . . . would you recommend?,Creating
What criteria would you use to assess the validity of a business contract?,Creating
What criteria would you use to assess...?,Creating
What do you think about . . .?,Creating
What is part of this book did you like best. Tell why you like it?,Creating
What is the most important...?,Creating
Which of the following actions would probably be least effective in determining the answer? ,Creating
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",Creating
Would you have liked to have had Cinderella for a sister? Explain why or why not.,Creating
Write a list of criteria to judge the Willy raps.,Creating
Revise the story and specify the type of audience that would enjoy this book.,Creating
Estimate the epicentral coordinates of the earth-quake,Creating
Estimate the risk of serious illness for consumers in different susceptible population groups,Creating
Estimate expenditure on HIV/AIDS education,Creating
Estimate the difficulty of the question,Creating
Estimate roughly how long the collision process takes,Creating
What do you think is the best thing about coming to Viestal?,Creating
What do you think is the mass and why,Creating
What do you think are the strengths of using integrated math in your program?,Creating
Do you think that this statement conveys the idea that i am trying to portray,Creating
How do you think the community should grow or change,Creating
How Do You Think One Should Reason in Making Ethical Decisions in Business,Creating
